date,tick,export,import,system_load
2016.01.22.,18-19,769,2486,5900
2016.01.22.,19-20,842,2458,5788
2016.01.22.,20-21,961,2354,5600
2016.01.22.,21-22,1035,2360,5399
2016.01.22.,22-23,1088,2432,5185
2016.01.22.,23-24,1127,2402,4961
2016.01.23.,0-1,1407,2500,4665
2016.01.23.,1-2,1551,2567,4469
2016.01.23.,2-3,1499,2420,4273
2016.01.23.,3-4,1568,2409,4155
2016.01.23.,4-5,1559,2390,4186
2016.01.23.,5-6,1628,2485,4306
2016.01.23.,6-7,1444,2506,4624
2016.01.23.,7-8,1474,2639,4950
2016.01.23.,8-9,1359,2768,5216
2016.01.23.,9-10,1242,2831,5416
2016.01.23.,10-11,1277,2906,5479
2016.01.23.,11-12,1200,2948,5529
2016.01.23.,12-13,1198,2926,5496
2016.01.23.,13-14,1235,2925,5334
2016.01.23.,14-15,1276,2937,5241
2016.01.23.,15-16,1289,2890,5237
2016.01.23.,16-17,1344,3031,5389
2016.01.23.,17-18,1243,3017,5572
2016.01.23.,18-19,1267,2961,5514
2016.01.23.,19-20,1320,2919,5459
2016.01.23.,20-21,1419,2887,5271
2016.01.23.,21-22,1517,2846,5054
2016.01.23.,22-23,1587,2702,4797
2016.01.23.,23-24,1764,2795,4542
2016.01.24.,0-1,1780,2636,4263
2016.01.24.,1-2,1800,2621,4145
2016.01.24.,2-3,1740,2507,3966
2016.01.24.,3-4,1756,2462,3845
2016.01.24.,4-5,1676,2375,3835
2016.01.24.,5-6,1692,2349,3890
2016.01.24.,6-7,1729,2473,4084
2016.01.24.,7-8,1701,2583,4335
2016.01.24.,8-9,1643,2689,4647
2016.01.24.,9-10,1511,2769,4937
2016.01.24.,10-11,1384,2744,5117
2016.01.24.,11-12,1279,2719,5161
2016.01.24.,12-13,1238,2649,5072
2016.01.24.,13-14,1341,2692,4883
2016.01.24.,14-15,1393,2702,4794
2016.01.24.,15-16,1406,2663,4813
2016.01.24.,16-17,1266,2664,4981
2016.01.24.,17-18,1110,2636,5232
2016.01.24.,18-19,1204,2753,5258
2016.01.24.,19-20,1195,2721,5250
2016.01.24.,20-21,1244,2601,5090
2016.01.24.,21-22,1492,2664,4881
2016.01.24.,22-23,1595,2599,4648
2016.01.24.,23-24,1674,2559,4419
2016.01.25.,0-1,1619,2333,4123
2016.01.25.,1-2,1511,2310,4053
2016.01.25.,2-3,1468,2248,3910
2016.01.25.,3-4,1520,2205,3855
2016.01.25.,4-5,1624,2326,3990
2016.01.25.,5-6,1723,2543,4440
2016.01.25.,6-7,1172,2668,5337
2016.01.25.,7-8,1033,2631,5702
2016.01.25.,8-9,935,2581,5817
2016.01.25.,9-10,845,2506,5889
2016.01.25.,10-11,869,2569,5907
2016.01.25.,11-12,822,2551,5986
2016.01.25.,12-13,822,2563,5980
2016.01.25.,13-14,800,2506,5880
2016.01.25.,14-15,796,2458,5835
2016.01.25.,15-16,751,2481,5850
2016.01.25.,16-17,657,2637,5900
2016.01.25.,17-18,610,2720,6005
2016.01.25.,18-19,621,2684,5923
2016.01.25.,19-20,596,2535,5824
2016.01.25.,20-21,829,2581,5603
2016.01.25.,21-22,1031,2580,5365
2016.01.25.,22-23,1357,2619,5092
2016.01.25.,23-24,1439,2577,4850
2016.01.26.,0-1,1451,2535,4520
2016.01.26.,1-2,1268,2392,4335
2016.01.26.,2-3,1169,2237,4138
2016.01.26.,3-4,1104,2115,4054
2016.01.26.,4-5,1155,2185,4176
2016.01.26.,5-6,1160,2485,4538
2016.01.26.,6-7,653,2563,5320
2016.01.26.,7-8,560,2654,5586
2016.01.26.,8-9,422,2553,5651
2016.01.26.,9-10,417,2582,5701
2016.01.26.,10-11,364,2570,5715
2016.01.26.,11-12,378,2604,5747
2016.01.26.,12-13,346,2577,5779
2016.01.26.,13-14,319,2499,5708
2016.01.26.,14-15,403,2630,5702
2016.01.26.,15-16,420,2650,5741
2016.01.26.,16-17,422,2667,5781
2016.01.26.,17-18,503,2899,5896
2016.01.26.,18-19,530,2835,5822
2016.01.26.,19-20,526,2726,5743
2016.01.26.,20-21,786,2592,5524
2016.01.26.,21-22,994,2569,5282
2016.01.26.,22-23,1243,2581,5061
2016.01.26.,23-24,1308,2507,4827
2016.01.27.,0-1,1440,2342,4519
2016.01.27.,1-2,1371,2226,4323
2016.01.27.,2-3,1415,2159,4133
2016.01.27.,3-4,1325,2030,4042
2016.01.27.,4-5,1282,2046,4169
2016.01.27.,5-6,1287,2313,4541
2016.01.27.,6-7,968,2601,5323
2016.01.27.,7-8,765,2601,5609
2016.01.27.,8-9,646,2531,5658
2016.01.27.,9-10,590,2501,5707
2016.01.27.,10-11,595,2536,5753
2016.01.27.,11-12,603,2570,5741
2016.01.27.,12-13,683,2653,5742
2016.01.27.,13-14,742,2657,5651
2016.01.27.,14-15,730,2632,5620
2016.01.27.,15-16,689,2622,5669
2016.01.27.,16-17,588,2615,5749
2016.01.27.,17-18,557,2721,5919
2016.01.27.,18-19,546,2627,5858
2016.01.27.,19-20,542,2505,5739
2016.01.27.,20-21,629,2382,5531
2016.01.27.,21-22,827,2364,5308
2016.01.27.,22-23,1023,2351,5058
2016.01.27.,23-24,1153,2366,4821
2016.01.28.,0-1,1194,2282,4519
2016.01.28.,1-2,1225,2234,4310
2016.01.28.,2-3,1201,2070,4106
2016.01.28.,3-4,1241,2020,4025
2016.01.28.,4-5,1255,2065,4137
2016.01.28.,5-6,1243,2336,4491
2016.01.28.,6-7,849,2554,5265
2016.01.28.,7-8,752,2612,5525
2016.01.28.,8-9,612,2500,5563
2016.01.28.,9-10,509,2434,5592
2016.01.28.,10-11,532,2458,5581
2016.01.28.,11-12,487,2468,5591
2016.01.28.,12-13,558,2552,5615
2016.01.28.,13-14,560,2505,5543
2016.01.28.,14-15,588,2476,5507
2016.01.28.,15-16,530,2410,5516
2016.01.28.,16-17,426,2407,5553
2016.01.28.,17-18,309,2417,5799
2016.01.28.,18-19,435,2451,5737
2016.01.28.,19-20,479,2419,5641
2016.01.28.,20-21,682,2443,5444
2016.01.28.,21-22,837,2388,5226
2016.01.28.,22-23,921,2278,4982
2016.01.28.,23-24,1040,2283,4748
2016.01.29.,0-1,976,2068,4419
2016.01.29.,1-2,937,1939,4217
2016.01.29.,2-3,1046,1858,4029
2016.01.29.,3-4,1054,1831,3962
2016.01.29.,4-5,1057,1921,4078
2016.01.29.,5-6,1068,2174,4416
2016.01.29.,6-7,703,2429,5161
2016.01.29.,7-8,688,2584,5464
2016.01.29.,8-9,476,2414,5556
